time,x,y,z,qx,qy,qz,qw,j0,j1,j2,j3,j4,j5,j6
1536479967.421490686,-0.31854,0.328523,0.429894,0.387987,-0.313261,0.821352,0.276974,0.654727,-0.535227,1.7542,-1.05045,-1.34798,-0.549339,-0.0116694
1536479967.442068484,-0.31854,0.328523,0.429894,0.387987,-0.313261,0.821352,0.276974,0.654727,-0.535227,1.7542,-1.05045,-1.34798,-0.549339,-0.0116694
1536479970.465552308,-0.31854,0.328523,0.429894,0.387987,-0.313261,0.821352,0.276974,0.654727,-0.535227,1.7542,-1.05045,-1.34798,-0.549339,-0.0116694
1536479970.484178660,-0.31854,0.328523,0.429894,0.387987,-0.313261,0.821352,0.276974,0.654727,-0.535227,1.7542,-1.05045,-1.34798,-0.549339,-0.0116694
1536479970.504934112,-0.318486,0.328462,0.430043,0.387955,-0.313234,0.821356,0.277037,0.654709,-0.53483,1.75416,-1.05043,-1.34797,-0.54985,-0.0116675
1536479970.525365039,-0.318377,0.328341,0.430341,0.387891,-0.313179,0.821365,0.277162,0.654674,-0.534037,1.75407,-1.0504,-1.34796,-0.550873,-0.0116638
1536479970.545956068,-0.318214,0.328159,0.430788,0.387795,-0.313097,0.821378,0.27735,0.654621,-0.532849,1.75394,-1.05036,-1.34794,-0.552406,-0.0116583
1536479970.567062526,-0.317996,0.327915,0.431383,0.387667,-0.312987,0.821396,0.2776,0.65455,-0.531266,1.75376,-1.0503,-1.34791,-0.554448,-0.011651
1536479970.587021027,-0.317723,0.327611,0.432124,0.387508,-0.31285,0.821418,0.277912,0.654461,-0.529291,1.75354,-1.05022,-1.34787,-0.556996,-0.0116418
1536479970.607787567,-0.317394,0.327245,0.433012,0.387318,-0.312685,0.821444,0.278285,0.654355,-0.526924,1.75327,-1.05013,-1.34783,-0.560048,-0.0116308
1536479970.628861166,-0.317008,0.326817,0.434043,0.387096,-0.312491,0.821475,0.278718,0.654231,-0.52417,1.75296,-1.05003,-1.34779,-0.563602,-0.011618
1536479970.649571348,-0.316566,0.326327,0.435217,0.386844,-0.31227,0.821511,0.279212,0.65409,-0.521029,1.75261,-1.04991,-1.34773,-0.567653,-0.0116035
1536479970.670748248,-0.316067,0.325774,0.436532,0.386562,-0.312019,0.821551,0.279765,0.653932,-0.517506,1.75221,-1.04978,-1.34767,-0.572198,-0.0115871
1536479970.691128158,-0.315509,0.325158,0.437986,0.38625,-0.311739,0.821595,0.280376,0.653757,-0.513604,1.75177,-1.04963,-1.3476,-0.577231,-0.011569
1536479970.712221107,-0.314892,0.324478,0.439576,0.385908,-0.31143,0.821645,0.281045,0.653565,-0.509326,1.75129,-1.04947,-1.34753,-0.582749,-0.0115492
1536479970.733131332,-0.314215,0.323735,0.4413,0.385538,-0.311091,0.821699,0.28177,0.653357,-0.504677,1.75076,-1.04929,-1.34745,-0.588746,-0.0115276
1536479970.754467898,-0.313477,0.322926,0.443154,0.385139,-0.310722,0.821757,0.28255,0.653132,-0.499662,1.7502,-1.0491,-1.34736,-0.595215,-0.0115043
1536479970.775534302,-0.312677,0.322052,0.445137,0.384712,-0.310323,0.821821,0.283384,0.652891,-0.494285,1.74959,-1.0489,-1.34727,-0.602151,-0.0114794
1536479970.796294085,-0.311814,0.321113,0.447244,0.384259,-0.309892,0.821889,0.284271,0.652633,-0.488552,1.74895,-1.04868,-1.34717,-0.609546,-0.0114527
1536479970.817623375,-0.310888,0.320107,0.449473,0.383779,-0.30943,0.821963,0.285209,0.65236,-0.482468,1.74826,-1.04845,-1.34707,-0.617394,-0.0114245
