time,curr_cmd0,curr_cmd1,curr_cmd2,curr_cmd3,curr_cmd4,curr_cmd5,curr_cmd6
1536128081.870681350,1.0142,-0.436597,-1.74794,-1.06072,-1.10619,-0.199325,0.00361056
1536128081.878762623,0.936572,-0.374679,-1.69242,-0.993358,-1.02658,-0.182267,0.00162371
1536128081.886848340,0.86433,-0.312103,-1.63024,-0.912902,-0.935803,-0.169994,-0.0006296
1536128081.895119950,0.978388,-0.41972,-1.75379,-1.05563,-1.06944,-0.185441,-0.00487947
1536128081.903227073,0.91393,-0.366779,-1.69964,-0.988517,-0.993262,-0.171502,-0.00742059
1536128081.911226162,1.03395,-0.484472,-1.78168,-1.11766,-1.09574,-0.183731,-0.0102325
1536128081.919277105,0.959315,-0.417082,-1.71694,-1.03833,-1.02291,-0.164808,-0.0125355
1536128081.927525182,0.878389,-0.349106,-1.65701,-0.952097,-0.937022,-0.152332,-0.014867
1536128081.935487514,0.990485,-0.453918,-1.78772,-1.09696,-1.08045,-0.16747,-0.0149537
1536128081.943501222,0.926108,-0.405503,-1.73598,-1.02107,-1.01672,-0.161215,-0.0151533
1536128081.951397048,1.05055,-0.515231,-1.86691,-1.16197,-1.15772,-0.18181,-0.0149824
1536128081.959272769,0.971962,-0.464058,-1.81314,-1.08657,-1.08063,-0.171067,-0.00497752
1536128081.967246221,0.893606,-0.397156,-1.75737,-0.996696,-0.995361,-0.163173,0.0042233
1536128081.975363739,1.00326,-0.507032,-1.89514,-1.13714,-1.13749,-0.177392,0.00850319
1536128081.983433747,0.932452,-0.459613,-1.8438,-1.06517,-1.06401,-0.164101,0.0135946
1536128081.991642641,1.04605,-0.571666,-1.97886,-1.20563,-1.20835,-0.178949,0.0115449
1536128081.999825000,0.963636,-0.510098,-1.92585,-1.12503,-1.13367,-0.159754,0.00770016
1536128082.007782005,0.875983,-0.4423,-1.86986,-1.04088,-1.04821,-0.137797,0.00258749
1536128082.015900083,0.984476,-0.55109,-2,-1.18359,-1.19197,-0.146657,-0.00206768
1536128082.023937808,0.922329,-0.497149,-1.94886,-1.10826,-1.11177,-0.13325,-0.0035838
