time,x,y,z,qx,qy,qz,qw
1535249853.886474562,0.777548,-1.25144,0.224769,0.162604,0.826527,0.118311,0.525753
1535249853.897484951,0.777643,-1.25092,0.224752,0.161807,0.826561,0.118055,0.526002
1535249853.908479168,0.777985,-1.25006,0.225027,0.162046,0.826377,0.118978,0.52601
1535249853.926566795,0.777895,-1.24946,0.225191,0.161298,0.826585,0.120581,0.525548
1535249853.936412407,0.778068,-1.24887,0.225386,0.161642,0.826649,0.120384,0.525387
1535249853.945879260,0.777829,-1.24849,0.225587,0.160907,0.826646,0.120279,0.525641
1535249853.954204630,0.777667,-1.24798,0.225815,0.161557,0.827309,0.120532,0.524339
1535249853.965036498,0.778086,-1.2477,0.226054,0.162341,0.828558,0.119466,0.522365
1535249853.973096714,0.778371,-1.24737,0.226266,0.163266,0.828635,0.118002,0.522287
1535249853.986746666,0.778641,-1.24709,0.226154,0.164012,0.828986,0.11942,0.521173
1535249853.997566727,0.778785,-1.24668,0.225856,0.166269,0.829779,0.117334,0.519668
1535249854.007794803,0.779127,-1.24646,0.22601,0.166303,0.829604,0.117238,0.519958
1535249854.018639668,0.778937,-1.24607,0.225879,0.165992,0.829268,0.118079,0.520403
1535249854.029814504,0.778904,-1.24607,0.225935,0.165054,0.829345,0.118927,0.520385
1535249854.040379048,0.778459,-1.24578,0.225569,0.161033,0.829382,0.118336,0.521719
1535249854.052061552,0.778541,-1.24587,0.225914,0.162281,0.828835,0.1194,0.521959
1535249854.064592689,0.778777,-1.24638,0.225986,0.163424,0.829142,0.119515,0.521087
1535249854.081940562,0.778974,-1.24662,0.225775,0.164493,0.830218,0.118281,0.519317
1535249854.090187426,0.77908,-1.24685,0.2259,0.165245,0.829022,0.119754,0.520649
1535249854.112726513,0.778821,-1.24651,0.225286,0.165034,0.829529,0.118814,0.520123
1535249854.122002628,0.77869,-1.24623,0.225022,0.164965,0.829892,0.119683,0.519368
1535249854.130273723,0.778673,-1.24611,0.224931,0.164769,0.830087,0.119837,0.519081
1535249854.145091884,0.77854,-1.24564,0.224662,0.163815,0.83014,0.119797,0.519309
1535249854.155411390,0.778378,-1.24537,0.224645,0.163538,0.830319,0.119618,0.51915
1535249854.163085567,0.778248,-1.24495,0.224947,0.163473,0.830353,0.120399,0.518936
1535249854.174959590,0.778397,-1.24466,0.225256,0.163438,0.830285,0.12056,0.519018
1535249854.187675854,0.778369,-1.24448,0.225389,0.163165,0.830204,0.12085,0.519166
1535249854.197530329,0.778306,-1.24438,0.225391,0.162657,0.830116,0.121128,0.519402
1535249854.212182146,0.778558,-1.2443,0.225387,0.162489,0.830129,0.120958,0.519473
1535249854.218216609,0.778602,-1.24433,0.225457,0.162957,0.830036,0.120779,0.519516
1535249854.238188131,0.778649,-1.24436,0.225572,0.16297,0.830106,0.121295,0.519281
1535249854.255585816,0.778795,-1.24456,0.225409,0.163601,0.830062,0.120682,0.519296
1535249854.266163261,0.778517,-1.24444,0.225451,0.161778,0.830082,0.119185,0.520179
1535249854.276841139,0.778631,-1.24457,0.225622,0.163592,0.829984,0.12051,0.519463
1535249854.285269385,0.778513,-1.24475,0.225476,0.163116,0.830902,0.12026,0.518201
1535249854.310222769,0.778265,-1.245,0.225282,0.163722,0.830241,0.120851,0.518931
1535249854.333767061,0.778203,-1.24473,0.225261,0.163899,0.83071,0.119954,0.518334
1535249854.344092477,0.778249,-1.24482,0.225236,0.163372,0.831078,0.11974,0.517959
1535249854.351899398,0.778717,-1.24469,0.225104,0.164992,0.831732,0.118252,0.516737
1535249854.364105268,0.778416,-1.24481,0.225171,0.164615,0.830778,0.119019,0.518212
1535249854.378740145,0.778407,-1.24497,0.225597,0.16414,0.830793,0.120064,0.518098
1535249854.396306461,0.778475,-1.24499,0.225898,0.165306,0.830548,0.119516,0.518247
1535249854.403877334,0.778451,-1.24496,0.226184,0.164193,0.830436,0.119469,0.518791
1535249854.414412557,0.778553,-1.24489,0.226368,0.163747,0.830445,0.120265,0.518734
1535249854.424637411,0.778793,-1.24493,0.226368,0.164052,0.830572,0.119729,0.518559
1535249854.432198498,0.778824,-1.24457,0.226665,0.16434,0.830461,0.119625,0.518669
1535249854.444871902,0.778863,-1.2444,0.226703,0.164474,0.830723,0.120294,0.518052
1535249854.452973491,0.779687,-1.24465,0.226487,0.167311,0.831736,0.117978,0.516046
1535249854.465700662,0.779771,-1.24493,0.226329,0.166555,0.83119,0.118577,0.517033
1535249854.477458794,0.780222,-1.24492,0.22645,0.168368,0.831436,0.119511,0.515834
1535249854.486082745,0.780408,-1.2452,0.226545,0.171617,0.831494,0.119717,0.51462
1535249854.498180882,0.780681,-1.24538,0.226886,0.169527,0.83255,0.119851,0.513573
1535249854.511131605,0.781079,-1.24544,0.226893,0.172532,0.831076,0.119148,0.51512
1535249854.519504383,0.781107,-1.2458,0.226829,0.171552,0.832236,0.119006,0.513606
1535249854.531801383,0.781027,-1.24625,0.226789,0.171119,0.831635,0.119458,0.514618
