time,x,y,z,qx,qy,qz,qw,j0,j1,j2,j3,j4,j5,j6
1535563860.830281313,-0.368644,-0.329938,0.08544,0.319476,-0.399646,0.834494,-0.204544,-0.944974,-1.74149,2.07307,-0.236283,-0.976792,-1.31813,-0.729455
1535563860.848633107,-0.366369,-0.333342,0.0888808,0.319788,-0.398977,0.83503,-0.203168,-0.952062,-1.73437,2.06987,-0.235004,-0.9772,-1.32901,-0.728822
1535563860.869275561,-0.363996,-0.336783,0.0923982,0.320067,-0.398269,0.835596,-0.201787,-0.959297,-1.7271,2.06661,-0.233698,-0.977617,-1.34013,-0.728175
1535563860.890287058,-0.361525,-0.340255,0.0959887,0.320312,-0.397519,0.836192,-0.200403,-0.966673,-1.71969,2.06328,-0.232367,-0.978041,-1.35145,-0.727516
1535563860.910570348,-0.358956,-0.343751,0.099649,0.32052,-0.396728,0.836818,-0.19902,-0.974183,-1.71215,2.05989,-0.231012,-0.978473,-1.36299,-0.726845
1535563860.931028211,-0.35629,-0.347265,0.103375,0.320688,-0.395897,0.837474,-0.197643,-0.981818,-1.70448,2.05645,-0.229635,-0.978913,-1.37471,-0.726163
1535563860.951586930,-0.353527,-0.350791,0.107164,0.320814,-0.395024,0.83816,-0.196273,-0.989572,-1.69669,2.05295,-0.228235,-0.979359,-1.38662,-0.72547
1535563860.973238876,-0.350669,-0.354323,0.111012,0.320896,-0.394111,0.838875,-0.194915,-0.997436,-1.68879,2.0494,-0.226816,-0.979812,-1.3987,-0.724768
1535563860.992305987,-0.347716,-0.357854,0.114915,0.320932,-0.393157,0.839619,-0.193572,-1.0054,-1.68079,2.04581,-0.225379,-0.98027,-1.41094,-0.724056
1535563861.014294593,-0.34467,-0.361378,0.118869,0.32092,-0.392164,0.840392,-0.192246,-1.01347,-1.67269,2.04217,-0.223924,-0.980735,-1.42332,-0.723335
1535563861.035190643,-0.341534,-0.36489,0.122871,0.320859,-0.391132,0.841194,-0.190942,-1.02162,-1.6645,2.0385,-0.222453,-0.981204,-1.43584,-0.722607
1535563861.053988616,-0.338308,-0.368384,0.126915,0.320746,-0.390062,0.842022,-0.189663,-1.02985,-1.65623,2.03478,-0.220968,-0.981677,-1.44848,-0.721872
1535563861.075099135,-0.334997,-0.371852,0.130999,0.320582,-0.388955,0.842878,-0.188411,-1.03815,-1.64789,2.03104,-0.21947,-0.982155,-1.46122,-0.72113
1535563861.094333754,-0.331602,-0.375291,0.135117,0.320364,-0.387813,0.843759,-0.187189,-1.04651,-1.63949,2.02727,-0.217961,-0.982636,-1.47407,-0.720383
1535563861.114648931,-0.328127,-0.378694,0.139267,0.320092,-0.386636,0.844664,-0.186001,-1.05493,-1.63104,2.02347,-0.216442,-0.983121,-1.487,-0.719631
1535563861.134994731,-0.324575,-0.382056,0.143443,0.319764,-0.385428,0.845593,-0.184848,-1.06339,-1.62253,2.01965,-0.214915,-0.983608,-1.5,-0.718875
1535563861.155361518,-0.32095,-0.385372,0.147641,0.319382,-0.384188,0.846544,-0.183735,-1.07189,-1.61399,2.01581,-0.213381,-0.984097,-1.51305,-0.718115
1535563861.175562001,-0.317255,-0.388636,0.151857,0.318945,-0.382919,0.847515,-0.182662,-1.08042,-1.60542,2.01197,-0.211841,-0.984588,-1.52616,-0.717353
1535563861.196335156,-0.313496,-0.391845,0.156087,0.318452,-0.381623,0.848506,-0.181632,-1.08898,-1.59683,2.00811,-0.210298,-0.985081,-1.53929,-0.716589
1535563861.217596077,-0.309677,-0.394994,0.160326,0.317904,-0.380302,0.849514,-0.180647,-1.09754,-1.58823,2.00424,-0.208753,-0.985574,-1.55245,-0.715824
1535563861.237009570,-0.305803,-0.398077,0.16457,0.317301,-0.378959,0.850538,-0.17971,-1.10611,-1.57962,2.00038,-0.207206,-0.986067,-1.56561,-0.715058
1535563861.259091780,-0.301877,-0.401093,0.168815,0.316645,-0.377594,0.851576,-0.178821,-1.11468,-1.57101,1.99651,-0.205661,-0.98656,-1.57876,-0.714293
1535563861.279273596,-0.297907,-0.404036,0.173055,0.315935,-0.376211,0.852627,-0.177982,-1.12323,-1.56242,1.99266,-0.204117,-0.987052,-1.5919,-0.713529
1535563861.299071636,-0.293897,-0.406904,0.177287,0.315175,-0.374813,0.853688,-0.177195,-1.13176,-1.55385,1.98881,-0.202578,-0.987543,-1.605,-0.712766
1535563861.320128380,-0.289852,-0.409694,0.181506,0.314364,-0.373401,0.854757,-0.17646,-1.14026,-1.54531,1.98497,-0.201044,-0.988033,-1.61806,-0.712007
1535563861.339499116,-0.285779,-0.412402,0.185708,0.313504,-0.371978,0.855833,-0.175778,-1.14872,-1.53681,1.98115,-0.199516,-0.98852,-1.63106,-0.711251
1535563861.359759451,-0.281684,-0.415026,0.189888,0.312598,-0.370546,0.856913,-0.17515,-1.15714,-1.52835,1.97736,-0.197998,-0.989004,-1.64399,-0.710498
1535563861.381277074,-0.277572,-0.417565,0.194042,0.311647,-0.369109,0.857996,-0.174576,-1.1655,-1.51995,1.97358,-0.196488,-0.989486,-1.65683,-0.709751
1535563861.400375762,-0.27345,-0.420016,0.198166,0.310654,-0.367669,0.85908,-0.174056,-1.17381,-1.51161,1.96984,-0.194991,-0.989963,-1.66958,-0.70901
1535563861.420524479,-0.269324,-0.422379,0.202256,0.309621,-0.366228,0.860162,-0.17359,-1.18203,-1.50335,1.96613,-0.193506,-0.990437,-1.68222,-0.708274
1535563861.440904283,-0.2652,-0.424651,0.206306,0.30855,-0.364788,0.861241,-0.173177,-1.19018,-1.49516,1.96245,-0.192035,-0.990906,-1.69473,-0.707546
1535563861.462890302,-0.261084,-0.426832,0.210314,0.307445,-0.363354,0.862314,-0.172818,-1.19825,-1.48706,1.95881,-0.19058,-0.99137,-1.70712,-0.706826
1535563861.481442360,-0.256983,-0.428922,0.214275,0.306309,-0.361926,0.86338,-0.172511,-1.20621,-1.47906,1.95522,-0.189142,-0.991829,-1.71935,-0.706114
1535563861.503932259,-0.252904,-0.430921,0.218184,0.305143,-0.360508,0.864436,-0.172254,-1.21408,-1.47116,1.95167,-0.187723,-0.992282,-1.73143,-0.705411
1535563861.522797074,-0.248852,-0.432828,0.222038,0.303952,-0.359101,0.865482,-0.172048,-1.22183,-1.46337,1.94817,-0.186324,-0.992728,-1.74334,-0.704719
1535563861.543342543,-0.244834,-0.434645,0.225833,0.302739,-0.35771,0.866514,-0.17189,-1.22947,-1.4557,1.94473,-0.184946,-0.993167,-1.75507,-0.704036
1535563861.563492471,-0.240856,-0.436371,0.229565,0.301508,-0.356334,0.867532,-0.171778,-1.23698,-1.44815,1.94134,-0.183591,-0.9936,-1.7666,-0.703365
